feature,orth_corr
feature_Idurar,-0.0047252336459684
feature_Ouiouane,-0.004380872844893604
feature_Hachlaf,-0.003839294478118355
feature_Ghdat,0.003755571424800848
feature_Agdz,0.0037411499710821817
feature_Amalou,0.0034884058225257393
feature_Tighmi,0.003285367208268643
feature_Tighassaline,-0.0032080819780698935
feature_Ahansal,0.003203930327184015
feature_Ziz,-0.0029979973467680666
feature_Anzou,-0.002928757382731785
feature_Argana,-0.002838855119093322
feature_Attab,0.002776124242218657
feature_Ouzoud,0.0027700740240118055
feature_Aguerd,-0.0027051959519587845
feature_Sous,0.0026721524279455905
feature_Hassane,0.0025354054183391746
feature_Akchour,-0.0025334365902747354
feature_Tiguelmamine,-0.0024227982972935035
feature_Aitmansour,-0.002388688599523459
feature_Tinejdad,-0.002071741909938609
feature_Msemrir,0.00205760250034575
feature_Imouzzer,-0.0016263898822798718
feature_Jbilet,-0.0013691394209519542
feature_Ras,0.0013448984160917895
feature_Tamsoult,-0.0012897530729903356
feature_Mssici,-0.0012561784940203083
feature_Tichka,-0.0012420492889922057
feature_Alnif,-0.0010914782515388326
feature_Benhaddou,-0.0010566108605379258
feature_Imlil,0.0010174799020968915
feature_Oumerbia,0.0009954742624209009
feature_Tizitest,-0.0006388941953764107
feature_Bounou,-0.0006369448080822606
feature_Ourika,-0.0006352036005007882
feature_Rif,0.0005789653206474751
feature_Ichbakene,-0.000560340829733798
feature_Amsouzert,0.0005312022197035463
feature_Ijoukak,0.00016451751303252836
feature_Talats,-0.00016369482317481462
feature_Tagleft,7.354307664316387e-05
